method,psnr,ssim,sam_deg,ergas,rmse,edge_corr,d_ndvi_ref,d_ndwi_ref,cons_rmse,cons_sam_deg,d_ndvi_cons,d_ndwi_cons,unc_err_spearman
hat,2.427947305901313,0.008303478360176086,-0.4021276941328964,-0.7087783515453339,-0.005165079142898321,0.02119805417914411,-0.003288397565484047,-0.006341767497360706,0.011619316326687112,0.758120700138604,0.008084234199486673,0.011146288306917995,
hat_bp,-0.09369546342056623,-0.0020839273929595947,0.10704982155798848,0.04074573516845703,0.0002288343384861946,0.0111705883564171,0.0010619680397212505,0.0012988136149942875,-0.0015796819498063996,-0.17736027841731952,-0.002037586542428471,-0.0023449406580766663,
hat_tta,2.4484586090209106,0.008645012974739075,-0.420667712703229,-0.7141812443733215,-0.005200554616749287,0.02367547150541144,-0.003496913705021143,-0.006491211010143161,0.011563334526726976,0.7518204332867776,0.008009567973203957,0.011072864464949816,
