method,psnr,ssim,sam_deg,ergas,rmse,edge_corr,d_ndvi_ref,d_ndwi_ref,cons_rmse,cons_sam_deg,d_ndvi_cons,d_ndwi_cons,unc_err_spearman
bicubic,33.24952922047478,0.9130072891712189,1.5183766157814476,3.2630890607833862,0.02202364057302475,0.3265365340423573,0.01844858843833208,0.021177328191697598,0.0017924931307788938,0.22561190460572986,0.0025837348075583577,0.0030070439097471535,
hat,35.67747652637609,0.921310767531395,1.1162489216485512,2.5543107092380524,0.01685856143012643,0.3477345882215014,0.015160190872848034,0.014835560694336891,0.013411809457466006,0.9837326047443339,0.01066796900704503,0.014153332216665149,0.36284708293953793
hat_bp,33.15583375705421,0.9109233617782593,1.625426437339436,3.3038347959518433,0.022252474911510944,0.3377071223987744,0.01951055647805333,0.022476141806691885,0.00021281118097249418,0.04825162618841034,0.0005461482651298866,0.0006621032516704872,0.16197705717467775
hat_tta,35.69798782949569,0.921652302145958,1.0977089030782186,2.5489078164100647,0.016823085956275463,0.3502120055477687,0.014951674733310938,0.014686117181554437,0.01335582765750587,0.9774323378925075,0.010593302780762315,0.01407990837469697,0.23724219305025093
